Geographic Area Name,Median Income,Margin of Error,Median Income In Thousands
8006,248571,33115,248.571
8012,246806,46133,246.806
8200,233977,42305,233.977
8003,225417,61846,225.417
8007,219792,40863,219.792
706,216667,76591,216.667
8122,215132,53650,215.132
8124,208438,34952,208.438
8011,194766,21622,194.766
812.02,193906,85934,193.906
8199,193194,22802,193.194
513,192083,15521,192.083
710,189219,56857,189.219
8196,183720,47255,183.72
8198.01,183190,23651,183.19
704,182750,72510,182.75
626,182563,38368,182.563
8002,181771,69505,181.771
8018,181250,50865,181.25
628,180431,36520,180.431
703,177500,23068,177.5
8036.03,177039,18825,177.039
3201.02,176506,48034,176.506
711,175625,50558,175.625
717,173750,58479,173.75
8017.01,170446,39725,170.446
8042.03,168580,58072,168.58
623,166094,19778,166.094
819,164554,79516,164.554
8090,162917,32493,162.917
8198.02,161364,38903,161.364
8202.03,160913,60292,160.913
2402,160827,9579,160.827
625,160208,40867,160.208
505,160045,31954,160.045
8310,159375,25494,159.375
2421,158885,52434,158.885
2415,158750,14414,158.75
8019.02,157969,38694,157.969
2222,157277,23906,157.277
716,157083,14821,157.083
8086,155625,28314,155.625
8326,154191,9039,154.191
818,154089,17748,154.089
622,153646,33042,153.646
3301.01,153561,49428,153.561
8437,153424,37681,153.424
2405,152352,30955,152.352
8190,151964,19747,151.964
8042.02,151411,20774,151.411
8017.02,151154,42274,151.154
3204,149914,42810,149.914
7201,148889,16812,148.889
8022,148427,17264,148.427
2413,147875,25168,147.875
2216,147344,20313,147.344
8423,147056,27018,147.056
627,147000,64612,147
508,146750,39869,146.75
8089,146000,33023,146
512,145481,12328,145.481
8330,145236,33831,145.236
604,144453,25676,144.453
707,143393,25373,143.393
8014,143365,7738,143.365
8041.09,143250,25166,143.25
511,142708,41952,142.708
1201,142467,15634,142.467
718,142450,49507,142.45
8088,142237,34473,142.237
2435,141894,17937,141.894
8016.06,141708,22014,141.708
803,141439,16622,141.439
8123.02,141250,33505,141.25
8240.06,141118,19323,141.118
8325,140592,33672,140.592
2422,138654,10778,138.654
8056,137895,19895,137.895
8240.05,137813,25988,137.813
8041.02,137500,23984,137.5
1611,137292,25716,137.292
8013,137143,48223,137.143
2414,137049,14762,137.049
8132,136795,19098,136.795
8197,136753,25283,136.753
8057.01,136698,16136,136.698
8241.26,136620,28541,136.62
705,136016,23131,136.016
1203,135395,29525,135.395
8130,135000,16098,135
8043.12,134722,33515,134.722
8129,134531,9978,134.531
8029,133602,32380,133.602
8055.02,132885,25056,132.885
8041.04,132692,8805,132.692
8021,132321,34266,132.321
8016.05,131960,27589,131.96
8026.07,131875,26102,131.875
8331,131852,28087,131.852
8042.04,131818,26146,131.818
8041.05,131797,15715,131.797
8157.01,131733,9801,131.733
2406,131528,23383,131.528
8030.08,131500,22510,131.5
8119,131371,30114,131.371
8057.02,129886,24645,129.886
503,129583,26959,129.583
514,129531,15475,129.531
2420,128793,14510,128.793
8010,128229,27322,128.229
7203,127112,38142,127.112
2403,126167,38116,126.167
8322,125833,34157,125.833
3301.02,125500,29081,125.5
8035,125316,17872,125.316
2801,124688,23034,124.688
8031,124605,15727,124.605
8121,124455,5029,124.455
8020.02,124408,35498,124.408
624,124355,21626,124.355
1202,124261,15373,124.261
615,124231,10028,124.231
7206,124219,24258,124.219
8120,123494,20785,123.494
8043.14,123450,31398,123.45
8241.14,123393,23759,123.393
8045.14,123377,29631,123.377
8046.06,123250,21438,123.25
2428,122650,40506,122.65
814.02,121839,39794,121.839
8041.06,121636,17188,121.636
8071,121484,15848,121.484
8078,121103,29995,121.103
714,120938,20884,120.938
507,120278,25339,120.278
816,120164,32814,120.164
501,120045,25177,120.045
510,118523,26157,118.523
3302,118516,14448,118.516
8020.03,118438,11869,118.438
8034,118364,14113,118.364
8324,117853,20896,117.853
801,117802,15815,117.802
8050.01,117778,13095,117.778
8104,117629,15448,117.629
2432,116875,33345,116.875
8049.01,116765,11918,116.765
8016.08,116583,13585,116.583
509,116399,9651,116.399
815,115938,39346,115.938
8099,115882,24022,115.882
8009,115385,16426,115.385
8028.01,115380,6853,115.38
712,115250,24771,115.25
603,115221,34879,115.221
8016.07,115000,15988,115
8075,114904,10186,114.904
902,114511,16065,114.511
8320,114479,19806,114.479
8097,114167,17530,114.167
4111,114045,12767,114.045
502,113984,39416,113.984
8319,113889,23369,113.889
901,113843,17012,113.843
8047.06,113750,12513,113.75
7403,113719,22631,113.719
8309,113359,18531,113.359
629,113243,15044,113.243
802.01,113219,31236,113.219
8045.12,113186,29565,113.186
8030.1,113021,14187,113.021
8239.01,113015,27142,113.015
8419,112988,10537,112.988
2433,112500,28996,112.5
7205,112500,21524,112.5
3201.01,112125,27891,112.125
8028.02,111667,23172,111.667
8033,111550,11529,111.55
8048.08,111071,16891,111.071
8026.1,111042,12370,111.042
8323,110943,8422,110.943
8201.01,110833,19412,110.833
2412,110580,27924,110.58
8241.13,110568,15437,110.568
2429,110375,29561,110.375
8008,110025,49936,110.025
610,109973,11777,109.973
817,109818,27148,109.818
8084,109813,18432,109.813
2819,109670,7296,109.67
8016.01,108333,16681,108.333
8055.01,108285,12348,108.285
8064,108250,24237,108.25
8100,108125,14671,108.125
8049.02,107862,22977,107.862
814.03,107833,27887,107.833
8045.06,107625,19061,107.625
8067,107130,25558,107.13
8391,106875,10475,106.875
8058.01,106838,24636,106.838
8030.16,106833,9976,106.833
1004,106744,20980,106.744
3206,106723,7838,106.723
7402,106406,15681,106.406
8043.13,106220,21706,106.22
8238.01,105781,11176,105.781
5609,105129,17987,105.129
8058.02,105057,27329,105.057
8079,104943,25405,104.943
2212,104906,32205,104.906
634,104878,21525,104.878
8036.07,104874,11734,104.874
2505,104809,37148,104.809
8094.01,104250,51300,104.25
8059.02,104222,12263,104.222
8298,104083,19375,104.083
611,103889,23529,103.889
8085,103877,13507,103.877
8015,103856,17772,103.856
404.01,103696,21399,103.696
713,103409,32552,103.409
8052.01,103190,22959,103.19
506,103125,20229,103.125
8420,103125,24459,103.125
2416,102917,8629,102.917
7503,102543,10653,102.543
8157.02,102377,31055,102.377
2225,102361,25909,102.361
8241.05,102298,19077,102.298
8103.02,102024,29759,102.024
8046.09,101923,19890,101.923
8046.07,101815,22644,101.815
1602,101806,32293,101.806
8187,101765,17001,101.765
612,101683,25679,101.683
8239.04,101615,15144,101.615
305,101607,16758,101.607
8131,101538,16594,101.538
8091,101406,28892,101.406
601,101375,19265,101.375
8046.08,101189,28483,101.189
8182,101069,16691,101.069
202,100689,25348,100.689
7504,100556,24706,100.556
7706.01,100531,13887,100.531
1001,100500,18078,100.5
1505.01,100431,21659,100.431
8240.03,99958,20445,99.958
8300.04,99866,16397,99.866
8300.03,99861,20467,99.861
812.01,99759,14768,99.759
8288.01,99727,12628,99.727
8390,99438,27316,99.438
5610,99274,21406,99.274
8026.05,99189,14853,99.189
7204,99100,9166,99.1
630,99041,9485,99.041
8038,98750,17047,98.75
8037.02,98578,28634,98.578
8241.22,98397,13546,98.397
2431,98102,16698,98.102
903,97885,13306,97.885
702,97847,17698,97.847
1204,97829,27498,97.829
8241.27,97821,33180,97.821
8043.06,97167,33041,97.167
8286.02,97135,8387,97.135
8025.03,96917,18107,96.917
1002,96831,14577,96.831
407,96791,16662,96.791
8241.06,96786,13855,96.786
8241.25,96775,29254,96.775
8181,96750,29463,96.75
8043.16,96518,14011,96.518
715,96050,13029,96.05
8030.17,95795,21156,95.795
8189,95740,5986,95.74
8300.08,95724,16247,95.724
8080.01,95403,19345,95.403
8422,95296,21509,95.296
8188,95000,14211,95
631,94929,20166,94.929
8047.16,94912,7282,94.912
7202,94896,22574,94.896
621,94607,26273,94.607
8186,94589,17274,94.589
8048.09,94196,17499,94.196
8027.01,93902,16351,93.902
8023,93836,23011,93.836
8045.13,93750,31611,93.75
8237.04,93611,16152,93.611
8043.15,93590,14047,93.59
8041.08,93048,11188,93.048
1302,93000,29478,93
