State,County,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
Illinois,(blank),,79.3,77.6-79.5,0.0201
Illinois,"Cook County, IL",0101.00,68.8,56.9-75.1,1.7306
Illinois,"Cook County, IL",0102.01,77.3,75.2-77.5,1.9253
Illinois,"Cook County, IL",0102.02,78.6,77.6-79.5,1.3567
Illinois,"Cook County, IL",0103.00,70,56.9-75.1,1.0274
Illinois,"Cook County, IL",0104.00,79.7,79.6-81.6,1.9647
Illinois,"Cook County, IL",0105.01,80.8,79.6-81.6,2.7576
Illinois,"Cook County, IL",0105.02,79.1,77.6-79.5,2.4009
Illinois,"Cook County, IL",0105.03,78.4,77.6-79.5,3.4729
Illinois,"Cook County, IL",0106.00,79.1,77.6-79.5,1.6625
Illinois,"Cook County, IL",0107.01,83.8,81.7-97.5,3.7874
Illinois,"Cook County, IL",0107.02,75.4,75.2-77.5,3.2467
Illinois,"Cook County, IL",0201.00,79.7,79.6-81.6,1.5711
Illinois,"Cook County, IL",0202.00,81.9,81.7-97.5,1.332
Illinois,"Cook County, IL",0203.01,83.7,81.7-97.5,1.2953
Illinois,"Cook County, IL",0203.02,73,56.9-75.1,1.0541
Illinois,"Cook County, IL",0204.00,82.7,81.7-97.5,2.5667
Illinois,"Cook County, IL",0205.00,77.6,77.6-79.5,2.008
Illinois,"Cook County, IL",0206.01,79.4,77.6-79.5,1.4872
Illinois,"Cook County, IL",0206.02,79.6,79.6-81.6,1.5062
Illinois,"Cook County, IL",0207.01,81.1,79.6-81.6,2.0599
Illinois,"Cook County, IL",0207.02,77.5,75.2-77.5,1.1972
Illinois,"Cook County, IL",0208.01,80.4,79.6-81.6,2.6068
Illinois,"Cook County, IL",0208.02,79.1,77.6-79.5,1.313
Illinois,"Cook County, IL",0209.01,77,75.2-77.5,2.2504
Illinois,"Cook County, IL",0209.02,78.5,77.6-79.5,3.158
Illinois,"Cook County, IL",0301.01,,,
Illinois,"Cook County, IL",0301.02,76,75.2-77.5,3.5908
Illinois,"Cook County, IL",0301.03,79.1,77.6-79.5,2.5395
Illinois,"Cook County, IL",0301.04,,,
Illinois,"Cook County, IL",0302.00,83.7,81.7-97.5,3.4746
Illinois,"Cook County, IL",0303.00,80,79.6-81.6,2.1471
Illinois,"Cook County, IL",0304.00,81.3,79.6-81.6,3.3378
Illinois,"Cook County, IL",0305.00,75.2,75.2-77.5,1.4069
Illinois,"Cook County, IL",0306.01,80,79.6-81.6,3.4323
