State,County,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
California,(blank),,81.3,79.6-81.6,0.0125
California,"Alameda County, CA",4001.00,87.2,81.7-97.5,2.5534
California,"Alameda County, CA",4002.00,81.5,79.6-81.6,1.0952
California,"Alameda County, CA",4003.00,87.2,81.7-97.5,3.5274
California,"Alameda County, CA",4004.00,82.9,81.7-97.5,1.8118
California,"Alameda County, CA",4005.00,78.8,77.6-79.5,2.1647
California,"Alameda County, CA",4006.00,78.6,77.6-79.5,2.4001
California,"Alameda County, CA",4007.00,80.1,79.6-81.6,2.0179
California,"Alameda County, CA",4008.00,76.9,75.2-77.5,1.5889
California,"Alameda County, CA",4009.00,74.5,56.9-75.1,2.21
California,"Alameda County, CA",4010.00,77.5,75.2-77.5,1.8596
California,"Alameda County, CA",4011.00,80.3,79.6-81.6,3.0636
California,"Alameda County, CA",4012.00,80,79.6-81.6,2.6913
California,"Alameda County, CA",4013.00,75.8,75.2-77.5,1.7997
California,"Alameda County, CA",4014.00,73.5,56.9-75.1,2.1014
California,"Alameda County, CA",4015.00,77.3,75.2-77.5,2.8661
California,"Alameda County, CA",4016.00,77.6,77.6-79.5,3.5769
California,"Alameda County, CA",4017.00,,,
California,"Alameda County, CA",4018.00,77.6,77.6-79.5,2.034
California,"Alameda County, CA",4022.00,76.6,75.2-77.5,2.6682
California,"Alameda County, CA",4024.00,78.1,77.6-79.5,3.2351
California,"Alameda County, CA",4025.00,,,
California,"Alameda County, CA",4026.00,75.4,75.2-77.5,1.0475
California,"Alameda County, CA",4027.00,77.5,75.2-77.5,2.0026
California,"Alameda County, CA",4028.00,76,75.2-77.5,2.7737
California,"Alameda County, CA",4029.00,79.6,79.6-81.6,3.0459
California,"Alameda County, CA",4030.00,81.1,79.6-81.6,1.8675
California,"Alameda County, CA",4031.00,80,79.6-81.6,1.5548
California,"Alameda County, CA",4033.00,84.5,81.7-97.5,3.5298
California,"Alameda County, CA",4034.00,81.9,81.7-97.5,1.6965
California,"Alameda County, CA",4035.01,80,79.6-81.6,2.7671
California,"Alameda County, CA",4035.02,79.4,77.6-79.5,3.2905
California,"Alameda County, CA",4036.00,80.7,79.6-81.6,2.5415
California,"Alameda County, CA",4037.01,84.4,81.7-97.5,2.0964
California,"Alameda County, CA",4037.02,,,
California,"Alameda County, CA",4038.00,83.8,81.7-97.5,2.5121
California,"Alameda County, CA",4039.00,86.9,81.7-97.5,3.2987
California,"Alameda County, CA",4040.00,82.5,81.7-97.5,3.0159
California,"Alameda County, CA",4041.01,82.7,81.7-97.5,1.7317
California,"Alameda County, CA",4041.02,79.7,79.6-81.6,2.2063
California,"Alameda County, CA",4042.00,84.2,81.7-97.5,1.8697
California,"Alameda County, CA",4043.00,83.3,81.7-97.5,1.6555
California,"Alameda County, CA",4044.00,83.5,81.7-97.5,1.7128
California,"Alameda County, CA",4045.01,86.1,81.7-97.5,2.1925
California,"Alameda County, CA",4045.02,82.4,81.7-97.5,1.3703
California,"Alameda County, CA",4046.00,84,81.7-97.5,1.6452
California,"Alameda County, CA",4047.00,82.5,81.7-97.5,1.6124
California,"Alameda County, CA",4048.00,85.2,81.7-97.5,2.6753
California,"Alameda County, CA",4049.00,85.8,81.7-97.5,2.9865
California,"Alameda County, CA",4050.00,81.3,79.6-81.6,1.1745
California,"Alameda County, CA",4051.00,82.4,81.7-97.5,1.4664
California,"Alameda County, CA",4052.00,84.9,81.7-97.5,2.9202
California,"Alameda County, CA",4053.01,80,79.6-81.6,1.7438
California,"Alameda County, CA",4053.02,79.5,77.6-79.5,1.953
California,"Alameda County, CA",4054.01,80.8,79.6-81.6,2.5199
California,"Alameda County, CA",4054.02,76,75.2-77.5,2.4383
California,"Alameda County, CA",4055.00,78.7,77.6-79.5,2.5516
California,"Alameda County, CA",4056.00,78.2,77.6-79.5,1.708
California,"Alameda County, CA",4057.00,76.4,75.2-77.5,1.2541
California,"Alameda County, CA",4058.00,76.6,75.2-77.5,1.7146
California,"Alameda County, CA",4059.01,77.9,77.6-79.5,2.1514
California,"Alameda County, CA",4059.02,77.7,77.6-79.5,2.2091
California,"Alameda County, CA",4060.00,77.9,77.6-79.5,1.5139
California,"Alameda County, CA",4061.00,76.2,75.2-77.5,1.4586
California,"Alameda County, CA",4062.01,75.3,75.2-77.5,1.8887
California,"Alameda County, CA",4062.02,77.4,75.2-77.5,2.0795
California,"Alameda County, CA",4063.00,82.3,81.7-97.5,2.647
California,"Alameda County, CA",4064.00,72.5,56.9-75.1,1.8017
California,"Alameda County, CA",4065.00,81.1,79.6-81.6,2.2302
California,"Alameda County, CA",4066.01,77.9,77.6-79.5,1.1891
California,"Alameda County, CA",4066.02,80.4,79.6-81.6,3.0769
California,"Alameda County, CA",4067.00,83.3,81.7-97.5,2.0496
California,"Alameda County, CA",4068.00,79.7,79.6-81.6,1.549
California,"Alameda County, CA",4069.00,78.2,77.6-79.5,1.3937
California,"Alameda County, CA",4070.00,77.1,75.2-77.5,1.9529
California,"Alameda County, CA",4071.01,80.2,79.6-81.6,2.9558
California,"Alameda County, CA",4071.02,81.6,79.6-81.6,2.5344
California,"Alameda County, CA",4072.00,78.5,77.6-79.5,1.1938
California,"Alameda County, CA",4073.00,73.9,56.9-75.1,2.1253
California,"Alameda County, CA",4074.00,78.3,77.6-79.5,3.0512
California,"Alameda County, CA",4075.00,71.7,56.9-75.1,2.312
California,"Alameda County, CA",4076.00,74.2,56.9-75.1,1.1746
California,"Alameda County, CA",4077.00,78.1,77.6-79.5,1.6435
California,"Alameda County, CA",4078.00,82.3,81.7-97.5,2.5112
California,"Alameda County, CA",4079.00,83.3,81.7-97.5,2.4552
California,"Alameda County, CA",4080.00,79.5,77.6-79.5,0.9933
California,"Alameda County, CA",4081.00,82.4,81.7-97.5,1.0992
California,"Alameda County, CA",4082.00,76.8,75.2-77.5,2.6882
California,"Alameda County, CA",4083.00,77.9,77.6-79.5,1.5346
California,"Alameda County, CA",4084.00,75.3,75.2-77.5,1.3617
California,"Alameda County, CA",4085.00,72.8,56.9-75.1,1.2943
California,"Alameda County, CA",4086.00,76.7,75.2-77.5,1.8792
California,"Alameda County, CA",4087.00,76.4,75.2-77.5,1.8021
California,"Alameda County, CA",4088.00,74,56.9-75.1,1.6519
California,"Alameda County, CA",4089.00,74.2,56.9-75.1,2.5196
California,"Alameda County, CA",4090.00,74.6,56.9-75.1,1.7192
California,"Alameda County, CA",4091.00,75.7,75.2-77.5,2.1078
California,"Alameda County, CA",4092.00,73.8,56.9-75.1,2.1146
California,"Alameda County, CA",4093.00,76.2,75.2-77.5,1.7703
California,"Alameda County, CA",4094.00,76.2,75.2-77.5,2.135
California,"Alameda County, CA",4095.00,75.2,75.2-77.5,2.6078
California,"Alameda County, CA",4096.00,75.3,75.2-77.5,2.3014
California,"Alameda County, CA",4097.00,72.9,56.9-75.1,1.9037
California,"Alameda County, CA",4098.00,81,79.6-81.6,2.7329
California,"Alameda County, CA",4099.00,83.2,81.7-97.5,1.9983
California,"Alameda County, CA",4100.00,81.7,81.7-97.5,1.7818
California,"Alameda County, CA",4101.00,76.4,75.2-77.5,1.2022
California,"Alameda County, CA",4102.00,73.6,56.9-75.1,1.8917
California,"Alameda County, CA",4103.00,75.5,75.2-77.5,2.0881
California,"Alameda County, CA",4104.00,78.7,77.6-79.5,1.557
California,"Alameda County, CA",4105.00,72.3,56.9-75.1,2.2377
California,"Alameda County, CA",4201.00,82,81.7-97.5,1.4235
California,"Alameda County, CA",4202.00,83.6,81.7-97.5,2.0513
California,"Alameda County, CA",4203.00,81.9,81.7-97.5,1.6793
California,"Alameda County, CA",4204.00,,,
California,"Alameda County, CA",4205.00,81.3,79.6-81.6,1.7237
California,"Alameda County, CA",4206.00,83.5,81.7-97.5,2.4417
California,"Alameda County, CA",4211.00,92.6,81.7-97.5,3.6665
California,"Alameda County, CA",4212.00,86.2,81.7-97.5,1.6513
California,"Alameda County, CA",4213.00,86,81.7-97.5,2.3204
California,"Alameda County, CA",4214.00,81.2,79.6-81.6,0.7224
California,"Alameda County, CA",4215.00,87.2,81.7-97.5,1.9853
California,"Alameda County, CA",4216.00,88.3,81.7-97.5,1.8635
California,"Alameda County, CA",4217.00,85.8,81.7-97.5,2.8271
California,"Alameda County, CA",4218.00,85.7,81.7-97.5,2.3525
California,"Alameda County, CA",4219.00,84.6,81.7-97.5,2.0284
California,"Alameda County, CA",4220.00,79.9,79.6-81.6,2.0167
California,"Alameda County, CA",4221.00,77.6,77.6-79.5,1.7026
California,"Alameda County, CA",4222.00,84.7,81.7-97.5,3.0875
California,"Alameda County, CA",4223.00,85.7,81.7-97.5,3.0389
California,"Alameda County, CA",4224.00,80.4,79.6-81.6,1.848
California,"Alameda County, CA",4225.00,81.5,79.6-81.6,1.9019
California,"Alameda County, CA",4226.00,,,
California,"Alameda County, CA",4227.00,,,
California,"Alameda County, CA",4228.00,,,
California,"Alameda County, CA",4229.00,77,75.2-77.5,2.1787
California,"Alameda County, CA",4230.00,83.8,81.7-97.5,1.7065
California,"Alameda County, CA",4231.00,81.3,79.6-81.6,1.7855
California,"Alameda County, CA",4232.00,78.5,77.6-79.5,2.0927
California,"Alameda County, CA",4233.00,80.6,79.6-81.6,1.7217
California,"Alameda County, CA",4234.00,80.3,79.6-81.6,2.3725
California,"Alameda County, CA",4235.00,81,79.6-81.6,3.1046
California,"Alameda County, CA",4236.01,,,
California,"Alameda County, CA",4236.02,,,
California,"Alameda County, CA",4237.00,88.6,81.7-97.5,2.388
California,"Alameda County, CA",4238.00,87.7,81.7-97.5,2.2288
California,"Alameda County, CA",4239.01,80.9,79.6-81.6,1.3931
California,"Alameda County, CA",4239.02,81.5,79.6-81.6,1.6224
California,"Alameda County, CA",4240.01,76.5,75.2-77.5,1.9624
California,"Alameda County, CA",4240.02,79.1,77.6-79.5,3.2375
California,"Alameda County, CA",4251.01,81,79.6-81.6,1.9502
California,"Alameda County, CA",4251.02,80.9,79.6-81.6,1.5136
California,"Alameda County, CA",4251.03,80.9,79.6-81.6,2.5065
California,"Alameda County, CA",4251.04,80,79.6-81.6,1.3671
California,"Alameda County, CA",4261.00,,,
California,"Alameda County, CA",4262.00,82.2,81.7-97.5,3.1556
California,"Alameda County, CA",4271.00,80.9,79.6-81.6,1.4954
California,"Alameda County, CA",4272.00,79.9,79.6-81.6,1.9184
California,"Alameda County, CA",4273.00,78,77.6-79.5,1.2697
California,"Alameda County, CA",4276.00,76,75.2-77.5,1.174
California,"Alameda County, CA",4277.00,78.9,77.6-79.5,1.4861
California,"Alameda County, CA",4278.00,80.9,79.6-81.6,1.4003
California,"Alameda County, CA",4279.00,82,81.7-97.5,2.2801
California,"Alameda County, CA",4280.00,80.4,79.6-81.6,1.9028
California,"Alameda County, CA",4281.00,80.3,79.6-81.6,1.3366
California,"Alameda County, CA",4282.00,82.7,81.7-97.5,1.4977
California,"Alameda County, CA",4283.01,81.5,79.6-81.6,1.0808
California,"Alameda County, CA",4283.02,86,81.7-97.5,1.9424
California,"Alameda County, CA",4284.00,79.9,79.6-81.6,1.3604
California,"Alameda County, CA",4285.00,81.8,81.7-97.5,1.4278
California,"Alameda County, CA",4286.00,80.2,79.6-81.6,1.3108
California,"Alameda County, CA",4287.00,80.3,79.6-81.6,1.6721
California,"Alameda County, CA",4301.01,82.2,81.7-97.5,1.6772
California,"Alameda County, CA",4301.02,85.9,81.7-97.5,2.846
California,"Alameda County, CA",4302.00,82.7,81.7-97.5,1.3656
California,"Alameda County, CA",4303.00,82.1,81.7-97.5,1.3844
California,"Alameda County, CA",4304.00,81.7,81.7-97.5,1.465
California,"Alameda County, CA",4305.00,80.6,79.6-81.6,1.5934
California,"Alameda County, CA",4306.00,82.1,81.7-97.5,1.6235
California,"Alameda County, CA",4307.00,80.2,79.6-81.6,1.1686
California,"Alameda County, CA",4308.00,82.8,81.7-97.5,2.0315
