Census Tract,Median Income,Margin of Error,Margin of Error in Thousands,Median Income in Thousands
2063.03,4918,2403,4.918,4.918
2063.02,7193,6842,7.193,7.193
2247.02,9722,3085,9.722,9.722
2063.01,11153,2081,11.153,11.153
2073.04,11430,783,11.43,11.43
2073.07,12283,9911,12.283,12.283
2062.02,12344,6877,12.344,12.344
2218.2,13630,5187,13.63,13.63
2653.06,15417,9833,15.417,15.417
2243.2,16471,5560,16.471,16.471
2426,16662,4250,16.662,16.662
2653.07,16772,7911,16.772,16.772
2403.01,17096,14097,17.096,17.096
2219,17768,11842,17.768,17.768
2075.02,17989,3064,17.989,17.989
9800.11,18021,11447,18.021,18.021
2653.04,20343,6653,20.343,20.343
5716,21074,4655,21.074,21.074
3107.01,21117,9660,21.117,21.117
9008.06,21296,3510,21.296,21.296
2421,21992,7197,21.992,21.992
2094.03,22259,8478,22.259,22.259
2089.04,22961,9329,22.961,22.961
2244.2,23210,1993,23.21,23.21
4328.01,23487,6765,23.487,23.487
2362.05,23882,6471,23.882,23.882
2349.02,24253,8566,24.253,24.253
2361.01,24773,9509,24.773,24.773
9105.01,24914,4083,24.914,24.914
2422.02,25141,2403,25.141,25.141
2411.2,25490,13389,25.49,25.49
2214.01,25747,4286,25.747,25.747
3022.01,26317,5941,26.317,26.317
1908.01,26488,8329,26.488,26.488
5758.03,26652,7325,26.652,26.652
6003.03,26683,6284,26.683,26.683
2218.1,26694,4140,26.694,26.694
2133.2,27127,4760,27.127,27.127
1917.1,27254,6948,27.254,27.254
2431,27353,6142,27.353,27.353
2289,27917,15620,27.917,27.917
9006.1,28017,19891,28.017,28.017
2091.04,28088,6312,28.088,28.088
2091.05,28156,5437,28.156,28.156
2060.53,28693,14421,28.693,28.693
1395.05,29054,26826,29.054,29.054
2091.03,29056,4300,29.056,29.056
2653.03,29375,11086,29.375,29.375
4620.02,29397,11219,29.397,29.397
1912.03,29444,9896,29.444,29.444
2312.2,29461,6585,29.461,29.461
2215,29536,8812,29.536,29.536
2362.03,29676,10577,29.676,29.676
2051.2,29804,4064,29.804,29.804
2244.1,29894,7112,29.894,29.894
1012.22,30016,9714,30.016,30.016
1916.2,30052,5771,30.052,30.052
2093,30540,5385,30.54,30.54
2071.02,30564,7671,30.564,30.564
1200.2,30669,10340,30.669,30.669
2100.1,30703,5751,30.703,30.703
2094.01,30970,7945,30.97,30.97
2123.04,31197,5031,31.197,31.197
2311,31271,8132,31.271,31.271
2375,31311,6499,31.311,31.311
1902.01,31403,4525,31.403,31.403
6028.01,31477,18730,31.477,31.477
1043.21,31645,31417,31.645,31.645
9104.05,31827,3541,31.827,31.827
2121.02,31864,3121,31.864,31.864
2423,31875,14323,31.875,31.875
9800.1,31875,21573,31.875,31.875
2352.02,32083,7470,32.083,32.083
2317.1,32301,4789,32.301,32.301
2098.1,32321,5600,32.321,32.321
2095.1,32361,6433,32.361,32.361
2362.04,32372,8004,32.372,32.372
5754.01,32410,6819,32.41,32.41
2312.1,32454,8700,32.454,32.454
2247.01,32500,16102,32.5,32.5
2123.05,32557,5881,32.557,32.557
2240.2,32713,7584,32.713,32.713
2122.03,32750,11319,32.75,32.75
2420,32857,11053,32.857,32.857
2044.2,32993,6719,32.993,32.993
1917.2,33106,7440,33.106,33.106
1064.07,33125,13525,33.125,33.125
2400.1,33144,8799,33.144,33.144
2962.2,33232,8410,33.232,33.232
2113.2,33247,14635,33.247,33.247
2122.04,33259,9100,33.259,33.259
2383.1,33317,11910,33.317,33.317
2087.2,33458,5361,33.458,33.458
2071.03,33487,10552,33.487,33.487
2046,33587,7910,33.587,33.587
2349.01,33699,11759,33.699,33.699
2287.1,33704,4317,33.704,33.704
1232.06,33724,5099,33.724,33.724
1991.2,33750,8955,33.75,33.75
2422.01,33750,11785,33.75,33.75
2397.01,33775,6715,33.775,33.775
1253.22,33818,11367,33.818,33.818
2213.02,33873,13073,33.873,33.873
2181.2,33902,9640,33.902,33.902
2201,33944,15021,33.944,33.944
5309.02,34023,5406,34.023,34.023
1911.2,34189,9458,34.189,34.189
5406,34213,15475,34.213,34.213
2211.1,34261,7693,34.261,34.261
1901.01,34313,5490,34.313,34.313
2774,34318,27211,34.318,34.318
5763.02,34363,5996,34.363,34.363
6002.02,34375,8968,34.375,34.375
2260.01,34444,15385,34.444,34.444
6021.03,34483,7954,34.483,34.483
2226,34493,5952,34.493,34.493
5758.01,34555,6736,34.555,34.555
2383.2,34628,11919,34.628,34.628
2213.03,34643,5362,34.643,34.643
1193.4,34825,9794,34.825,34.825
4062.01,34861,11891,34.861,34.861
2316.03,35048,15351,35.048,35.048
2326.02,35052,14325,35.052,35.052
2327.02,35114,8490,35.114,35.114
1201.03,35263,9898,35.263,35.263
2089.02,35313,5728,35.313,35.313
2318,35321,8231,35.321,35.321
2095.2,35395,3308,35.395,35.395
1201.06,35400,5850,35.4,35.4
2319.01,35417,18082,35.417,35.417
2377.2,35488,4432,35.488,35.488
5326.06,35769,6211,35.769,35.769
2060.5,35795,16113,35.795,35.795
2397.02,35809,12436,35.809,35.809
2132.01,35829,4074,35.829,35.829
5751.02,35927,9265,35.927,35.927
1282.1,35969,6757,35.969,35.969
2947.01,36014,8350,36.014,36.014
6003.04,36056,10588,36.056,36.056
2242,36071,14072,36.071,36.071
5342.03,36156,5824,36.156,36.156
5342.02,36178,6652,36.178,36.178
1907.01,36183,9652,36.183,36.183
2092.02,36188,9296,36.188,36.188
2282.1,36214,5159,36.214,36.214
6010.01,36250,24255,36.25,36.25
2214.02,36289,12075,36.289,36.289
2134.01,36333,3411,36.333,36.333
4619.02,36409,30669,36.409,36.409
2321.1,36423,7083,36.423,36.423
2098.2,36500,4908,36.5,36.5
2240.1,36604,8137,36.604,36.604
5765.01,36633,10749,36.633,36.633
2392.01,36687,3746,36.687,36.687
1201.05,36703,4113,36.703,36.703
6015.01,36737,12782,36.737,36.737
2285,36842,11947,36.842,36.842
1201.07,36915,7761,36.915,36.915
2122.02,36920,8734,36.92,36.92
4335.06,36956,5021,36.956,36.956
3202.01,36993,6399,36.993,36.993
5402.01,37014,8394,37.014,37.014
7001.02,37014,9909,37.014,37.014
6017,37045,10337,37.045,37.045
2091.06,37067,10016,37.067,37.067
2260.02,37147,10297,37.147,37.147
5015.04,37149,4604,37.149,37.149
2405,37157,10175,37.157,37.157
2948.2,37222,7509,37.222,37.222
1999,37232,8467,37.232,37.232
2965,37311,16759,37.311,37.311
2119.21,37375,5551,37.375,37.375
2094.02,37388,9646,37.388,37.388
2080.02,37443,9083,37.443,37.443
6001,37443,7490,37.443,37.443
2123.06,37466,7184,37.466,37.466
2371.02,37500,7012,37.5,37.5
2396.02,37500,4850,37.5,37.5
1224.1,37634,13840,37.634,37.634
5334.02,37763,18012,37.763,37.763
2200,37805,7338,37.805,37.805
6025.1,37813,12110,37.813,37.813
5414.01,37944,11042,37.944,37.944
2949,37974,10554,37.974,37.974
3107.05,38125,30771,38.125,38.125
2132.02,38147,10459,38.147,38.147
1201.08,38194,11522,38.194,38.194
2182.1,38207,8948,38.207,38.207
5769.03,38244,8277,38.244,38.244
4027.02,38295,8427,38.295,38.295
2073.06,38305,5738,38.305,38.305
1275.2,38333,4444,38.333,38.333
2264.1,38438,5647,38.438,38.438
1200.3,38466,9288,38.466,38.466
9006.06,38534,3840,38.534,38.534
2404.01,38536,10350,38.536,38.536
1903.03,38553,22505,38.553,38.553
2382,38557,6788,38.557,38.557
9006.09,38684,13901,38.684,38.684
2371.01,38750,13344,38.75,38.75
2062.01,38786,24345,38.786,38.786
1283.03,38880,4776,38.88,38.88
1997,38892,9510,38.892,38.892
2328,38897,14510,38.897,38.897
2042,38919,6177,38.919,38.919
5320.01,38971,11081,38.971,38.971
5311.02,38990,10051,38.99,38.99
9008.04,39000,3497,39,39
5326.05,39063,32332,39.063,39.063
4025.04,39091,11395,39.091,39.091
2073.03,39113,21676,39.113,39.113
5330.02,39258,7902,39.258,39.258
2377.1,39288,13874,39.288,39.288
2031,39329,11301,39.329,39.329
2181.1,39335,7846,39.335,39.335
2409.02,39375,28385,39.375,39.375
5331.03,39375,6366,39.375,39.375
5732.01,39393,6349,39.393,39.393
1174.07,39397,4693,39.397,39.397
1345.2,39397,5461,39.397,39.397
2088.02,39400,14304,39.4,39.4
1909.01,39435,12993,39.435,39.435
1343.05,39506,10889,39.506,39.506
4824.03,39583,14014,39.583,39.583
5329,39612,5891,39.612,39.612
2060.54,39647,6477,39.647,39.647
3025.03,39838,24511,39.838,39.838
4622.01,39851,10897,39.851,39.851
2117.04,39875,14929,39.875,39.875
1201.04,39922,6360,39.922,39.922
2941.2,39984,29409,39.984,39.984
4088,40108,10716,40.108,40.108
2319.02,40125,15440,40.125,40.125
3022.02,40134,10770,40.134,40.134
5416.06,40134,9595,40.134,40.134
3016.01,40154,17648,40.154,40.154
1325.02,40179,19717,40.179,40.179
1174.05,40202,9819,40.202,40.202
9106.07,40250,10180,40.25,40.25
5331.08,40264,4163,40.264,40.264
2962.1,40282,11977,40.282,40.282
2393.3,40293,8427,40.293,40.293
5753,40303,13311,40.303,40.303
2049.1,40313,4067,40.313,40.313
2035,40524,12832,40.524,40.524
1345.22,40560,6875,40.56,40.56
4333.05,40625,15389,40.625,40.625
1249.02,40668,5261,40.668,40.668
5344.06,40682,8538,40.682,40.682
2088.01,40704,2504,40.704,40.704
1174.08,40718,4996,40.718,40.718
1902.02,40723,13024,40.723,40.723
5542.04,40746,7056,40.746,40.746
4817.14,40761,7102,40.761,40.761
9105.02,40788,7732,40.788,40.788
5341.02,40797,5634,40.797,40.797
2343.02,40857,7831,40.857,40.857
5764.03,40859,6212,40.859,40.859
2404.02,40903,19008,40.903,40.903
9800.15,40938,22447,40.938,40.938
5725,40948,17865,40.948,40.948
2288,40955,5181,40.955,40.955
2920.01,40957,10092,40.957,40.957
1912.04,40962,7065,40.962,40.962
5338.03,40989,6756,40.989,40.989
2966,40991,11409,40.991,40.991
9006.02,41016,6967,41.016,41.016
1998.01,41027,7928,41.027,41.027
2376,41076,14488,41.076,41.076
9106.02,41081,3878,41.081,41.081
3025.04,41103,9032,41.103,41.103
2393.1,41121,3364,41.121,41.121
2216.02,41125,11971,41.125,41.125
5703.05,41172,6555,41.172,41.172
5752.02,41190,5233,41.19,41.19
6002.01,41199,6232,41.199,41.199
5336.03,41204,10191,41.204,41.204
1911.1,41211,19827,41.211,41.211
2033,41250,21681,41.25,41.25
1912.01,41288,8793,41.288,41.288
4823.04,41314,8562,41.314,41.314
2123.03,41328,15024,41.328,41.328
2060.1,41395,8707,41.395,41.395
1351.16,41429,36961,41.429,41.429
1233.04,41438,8211,41.438,41.438
5432.03,41447,8870,41.447,41.447
2412.02,41458,5761,41.458,41.458
2340.02,41462,9369,41.462,41.462
1926.2,41553,6393,41.553,41.553
1241.04,41573,11151,41.573,41.573
1221.22,41591,2165,41.591,41.591
2187.02,41705,11210,41.705,41.705
5316.02,41707,17714,41.707,41.707
9001.02,41713,7364,41.713,41.713
2427,41731,2889,41.731,41.731
2408,41768,7219,41.768,41.768
2372.02,41792,19700,41.792,41.792
5331.05,41797,7064,41.797,41.797
5313.02,41818,8744,41.818,41.818
2118.04,41843,10842,41.843,41.843
1331.02,41875,14908,41.875,41.875
6018.01,41890,7277,41.89,41.89
5018.03,41957,5172,41.957,41.957
6009.02,41967,6416,41.967,41.967
5769.01,41979,14054,41.979,41.979
2085.02,42129,4314,42.129,42.129
5416.03,42155,12154,42.155,42.155
4333.04,42197,14558,42.197,42.197
2267.02,42217,15330,42.217,42.217
5338.04,42244,6815,42.244,42.244
2131,42250,12528,42.25,42.25
5356.03,42250,8400,42.25,42.25
2089.03,42285,11388,42.285,42.285
2392.02,42332,11245,42.332,42.332
2284.1,42337,13782,42.337,42.337
5402.02,42354,7044,42.354,42.354
9007.01,42380,4425,42.38,42.38
2112.02,42389,3561,42.389,42.389
9001.03,42400,10871,42.4,42.4
2243.1,42417,9023,42.417,42.417
9007.04,42437,8836,42.437,42.437
1998.02,42500,15453,42.5,42.5
1047.01,42542,7879,42.542,42.542
1047.03,42589,11669,42.589,42.589
2395.02,42621,8395,42.621,42.621
2971.1,42679,5497,42.679,42.679
1218.01,42700,11887,42.7,42.7
1175.2,42738,10216,42.738,42.738
5328,42784,11213,42.784,42.784
2362.06,42831,13102,42.831,42.831
6037.06,42927,8348,42.927,42.927
9005.1,42934,10769,42.934,42.934
5344.04,42955,12035,42.955,42.955
3025.05,43024,13647,43.024,43.024
1276.04,43097,7605,43.097,43.097
2185,43156,12067,43.156,43.156
2293,43176,11172,43.176,43.176
1272.2,43188,5417,43.188,43.188
5416.04,43221,9649,43.221,43.221
5333,43313,18275,43.313,43.313
5762,43381,9435,43.381,43.381
2755,43393,8197,43.393,43.393
5538.02,43395,9750,43.395,43.395
2264.2,43464,11503,43.464,43.464
5316.04,43550,8600,43.55,43.55
2134.02,43603,4307,43.603,43.603
5014,43656,16322,43.656,43.656
2284.2,43661,12615,43.661,43.661
5337.01,43661,15910,43.661,43.661
6011,43661,8797,43.661,43.661
1905.2,43688,7926,43.688,43.688
2941.1,43724,13865,43.724,43.724
2283.2,43770,6671,43.77,43.77
2129,43788,14379,43.788,43.788
1243,43807,8952,43.807,43.807
6012.11,43873,8948,43.873,43.873
2217.1,43938,6241,43.938,43.938
2326.01,43958,20779,43.958,43.958
1926.1,44045,5135,44.045,44.045
2321.2,44110,8354,44.11,44.11
2283.1,44115,8643,44.115,44.115
5331.04,44213,5477,44.213,44.213
2211.2,44265,9385,44.265,44.265
2270.1,44277,4404,44.277,44.277
1230.1,44327,13017,44.327,44.327
2932.05,44369,10985,44.369,44.369
5301.01,44375,11414,44.375,44.375
1242.04,44383,7477,44.383,44.383
1347.1,44397,9815,44.397,44.397
4087.24,44413,9242,44.413,44.413
9012.15,44418,15764,44.418,44.418
5355.01,44515,2896,44.515,44.515
2113.1,44545,4856,44.545,44.545
1278.06,44565,17227,44.565,44.565
2407,44587,7689,44.587,44.587
5706.03,44637,12816,44.637,44.637
1047.04,44647,9753,44.647,44.647
2189,44652,7131,44.652,44.652
5313.01,44662,10488,44.662,44.662
1132.39,44698,4677,44.698,44.698
2125.01,44797,8636,44.797,44.797
5730.02,44857,8928,44.857,44.857
5421.05,44899,13726,44.899,44.899
5341.01,44911,4984,44.911,44.911
5310,44918,18948,44.918,44.918
2084.01,44943,11247,44.943,44.943
4814.03,44960,32337,44.96,44.96
2038,45000,11006,45,45
4822.01,45042,19882,45.042,45.042
1281.02,45054,7922,45.054,45.054
2124.1,45114,5096,45.114,45.114
2118.02,45120,5689,45.12,45.12
5350.02,45139,9610,45.139,45.139
5304,45154,6781,45.154,45.154
2083.02,45194,11031,45.194,45.194
5339.01,45236,9404,45.236,45.236
9800.17,45250,39155,45.25,45.25
1278.03,45278,14317,45.278,45.278
4077.01,45284,10901,45.284,45.284
