State,County,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
California,(blank),,81.3,79.6-81.6,0.0125
California,"Los Angeles County, CA",1011.10,79.2,77.6-79.5,2.0179
California,"Los Angeles County, CA",1011.22,80,79.6-81.6,1.4116
California,"Los Angeles County, CA",1012.10,82.5,81.7-97.5,3.9822
California,"Los Angeles County, CA",1012.20,78.5,77.6-79.5,2.5982
California,"Los Angeles County, CA",1013.00,80,79.6-81.6,3.1409
California,"Los Angeles County, CA",1014.00,81.4,79.6-81.6,1.6718
California,"Los Angeles County, CA",1021.03,82.9,81.7-97.5,2.385
California,"Los Angeles County, CA",1021.04,85.4,81.7-97.5,2.4182
California,"Los Angeles County, CA",1021.05,78.7,77.6-79.5,2.1672
California,"Los Angeles County, CA",1021.07,79.6,79.6-81.6,1.3032
California,"Los Angeles County, CA",1031.01,80.7,79.6-81.6,1.7737
California,"Los Angeles County, CA",1031.02,80.6,79.6-81.6,1.4211
California,"Los Angeles County, CA",1032.00,81.5,79.6-81.6,2.0322
California,"Los Angeles County, CA",1033.00,81,79.6-81.6,1.6207
California,"Los Angeles County, CA",1034.00,79.6,79.6-81.6,1.63
California,"Los Angeles County, CA",1041.03,83.9,81.7-97.5,3.1149
California,"Los Angeles County, CA",1041.05,75.9,75.2-77.5,1.4547
California,"Los Angeles County, CA",1041.08,81,79.6-81.6,2.318
California,"Los Angeles County, CA",1041.24,79.2,77.6-79.5,1.3907
California,"Los Angeles County, CA",1042.01,84.3,81.7-97.5,3.3257
California,"Los Angeles County, CA",1042.03,82.1,81.7-97.5,2.8585
California,"Los Angeles County, CA",1042.04,73.6,56.9-75.1,1.8526
California,"Los Angeles County, CA",1043.10,77.4,75.2-77.5,0.971
California,"Los Angeles County, CA",1043.20,79.7,79.6-81.6,1.2499
California,"Los Angeles County, CA",1044.01,79.1,77.6-79.5,1.501
California,"Los Angeles County, CA",1044.03,80.5,79.6-81.6,1.9124
California,"Los Angeles County, CA",1044.04,78.9,77.6-79.5,1.9697
California,"Los Angeles County, CA",1045.00,81.3,79.6-81.6,3.1731
California,"Los Angeles County, CA",1046.10,78.7,77.6-79.5,1.4941
California,"Los Angeles County, CA",1046.20,81.2,79.6-81.6,3.1933
California,"Los Angeles County, CA",1047.01,80.3,79.6-81.6,2.8806
California,"Los Angeles County, CA",1047.03,77.5,75.2-77.5,3.3742
California,"Los Angeles County, CA",1047.04,78.1,77.6-79.5,1.6519
California,"Los Angeles County, CA",1048.10,78.7,77.6-79.5,1.5131
California,"Los Angeles County, CA",1048.21,77.7,77.6-79.5,1.6928
California,"Los Angeles County, CA",1048.22,,,
California,"Los Angeles County, CA",1060.10,79,77.6-79.5,1.8058
California,"Los Angeles County, CA",1060.20,81.7,81.7-97.5,2.2127
California,"Los Angeles County, CA",1061.11,79.5,77.6-79.5,1.3995
California,"Los Angeles County, CA",1061.12,78.2,77.6-79.5,1.7575
California,"Los Angeles County, CA",1061.13,80.4,79.6-81.6,2.2723
California,"Los Angeles County, CA",1061.14,78.1,77.6-79.5,2.1852
California,"Los Angeles County, CA",1064.03,79.9,79.6-81.6,2.0301
California,"Los Angeles County, CA",1064.05,78.5,77.6-79.5,1.8762
California,"Los Angeles County, CA",1064.06,81.6,79.6-81.6,2.0284
California,"Los Angeles County, CA",1064.07,77.8,77.6-79.5,1.8723
California,"Los Angeles County, CA",1064.08,76.2,75.2-77.5,2.1145
California,"Los Angeles County, CA",1065.10,86.9,81.7-97.5,3.2407
California,"Los Angeles County, CA",1065.20,83.5,81.7-97.5,2.8653
California,"Los Angeles County, CA",1066.03,82.9,81.7-97.5,2.1956
California,"Los Angeles County, CA",1066.04,77.7,77.6-79.5,1.6427
California,"Los Angeles County, CA",1066.41,81,79.6-81.6,1.1731
California,"Los Angeles County, CA",1066.42,84,81.7-97.5,2.1203
California,"Los Angeles County, CA",1066.43,81.7,81.7-97.5,1.0539
California,"Los Angeles County, CA",1066.45,80.8,79.6-81.6,1.9989
California,"Los Angeles County, CA",1066.46,83.5,81.7-97.5,1.8643
California,"Los Angeles County, CA",1066.48,79.1,77.6-79.5,1.6769
California,"Los Angeles County, CA",1066.49,82.4,81.7-97.5,3.1725
California,"Los Angeles County, CA",1070.10,75.1,56.9-75.1,1.8326
California,"Los Angeles County, CA",1070.20,79.1,77.6-79.5,2.4518
California,"Los Angeles County, CA",1081.01,81.6,79.6-81.6,1.4907
California,"Los Angeles County, CA",1081.02,86.6,81.7-97.5,2.3118
California,"Los Angeles County, CA",1081.03,85.2,81.7-97.5,2.6351
California,"Los Angeles County, CA",1081.04,83.3,81.7-97.5,3.2484
California,"Los Angeles County, CA",1082.01,86.8,81.7-97.5,3.0222
California,"Los Angeles County, CA",1082.02,81.3,79.6-81.6,1.3273
California,"Los Angeles County, CA",1091.00,77.3,75.2-77.5,1.2643
California,"Los Angeles County, CA",1092.00,79.6,79.6-81.6,1.3722
California,"Los Angeles County, CA",1093.00,81.7,81.7-97.5,2.0244
California,"Los Angeles County, CA",1094.00,,,
California,"Los Angeles County, CA",1095.00,82.3,81.7-97.5,2.3728
California,"Los Angeles County, CA",1096.01,83.7,81.7-97.5,2.1324
