Census Tract,Median Income,Margin of Error,Median Income in Thousands
73,228644,95427,228.644
78.01,216094,44839,216.094
39.06,185972,28745,185.972
81.01,185000,16788,185
46.02,182067,66302,182.067
46.07,180694,91374,180.694
80,180233,58212,180.233
75.01,175938,45007,175.938
1.45,175191,69615,175.191
46.05,173482,50609,173.482
82.07,170781,62054,170.781
61.03,170385,34583,170.385
78.07,168973,32365,168.973
67.17,167742,88347,167.742
82.05,164764,25589,164.764
68.02,153934,27470,153.934
68.01,152143,29277,152.143
81.02,151429,35365,151.429
84.15,144805,21869,144.805
67.09,140423,28452,140.423
41.06,140388,25685,140.388
41.02,138631,63275,138.631
125.01,138125,51074,138.125
124.02,136763,22456,136.763
11.04,135913,22020,135.913
82.09,131875,22649,131.875
79.02,129167,31623,129.167
102.12,128382,50285,128.382
77.07,127784,78107,127.784
60.04,120956,28969,120.956
198.02,120515,26054,120.515
61.05,119853,37155,119.853
61.06,119464,50099,119.464
180.01,119205,58825,119.205
82.02,118676,28945,118.676
84.26,118500,21474,118.5
60.03,118295,39723,118.295
67.07,117420,39517,117.42
1.29,116944,47651,116.944
84.29,116534,45179,116.534
74.01,116167,46601,116.167
67.2,115549,24754,115.549
37.08,115000,15438,115
74.02,113438,48595,113.438
79.01,111522,15895,111.522
12.05,111042,36061,111.042
27.1,110518,25008,110.518
71.03,109722,70211,109.722
77.09,109583,40376,109.583
101.98,109450,20879,109.45
152.01,109041,19548,109.041
40,108852,56553,108.852
74.03,108844,52056,108.844
1.21,108750,20872,108.75
111.05,108519,28401,108.519
101.93,108497,8327,108.497
85.02,108432,18432,108.432
76.01,108333,25163,108.333
46.08,108036,34304,108.036
188.01,107685,47564,107.685
71.04,107661,28869,107.661
97.03,107330,33677,107.33
76.08,106845,43630,106.845
37.03,106771,22989,106.771
165.02,106765,19726,106.765
78.05,106750,23866,106.75
39.19,105394,17039,105.394
37.1,105205,36747,105.205
165.01,105125,37276,105.125
128.02,104452,12871,104.452
164.01,104313,24712,104.313
67.14,103906,32601,103.906
93.05,103906,17925,103.906
106.24,103000,27038,103
90.43,102926,29106,102.926
196,102647,24994,102.647
67.21,101425,452,101.425
200.01,101023,79012,101.023
142,100975,15499,100.975
67.13,100268,15036,100.268
67.05,100000,26533,100
38.01,99107,19267,99.107
76.1,98947,43391,98.947
174.01,98819,48717,98.819
1.46,98750,23330,98.75
144,98654,31083,98.654
82.06,98125,41416,98.125
151.01,97959,44389,97.959
153,97878,8525,97.878
61.04,96781,25988,96.781
122,96313,13698,96.313
157,96250,16491,96.25
189.01,96049,3147,96.049
127.01,95763,16819,95.763
27.09,95040,18484,95.04
77.06,94632,37064,94.632
163,94352,23613,94.352
84.27,93803,25128,93.803
103.03,93514,68846,93.514
62.06,92759,15849,92.759
84.28,92500,72790,92.5
12.06,92425,28267,92.425
39.22,91813,22115,91.813
90.48,91250,24080,91.25
110.15,91215,14995,91.215
1.41,91140,58530,91.14
106.18,90947,6677,90.947
106.04,90850,24119,90.85
90.53,90452,24652,90.452
127.02,90313,28792,90.313
37.05,90051,16680,90.051
106.1,90012,20772,90.012
84.2,89904,24694,89.904
151.02,89886,40838,89.886
161,89857,24204,89.857
198.01,89375,18674,89.375
39.21,89088,42285,89.088
147.02,88807,40386,88.807
86.03,88552,14611,88.552
115,88167,3946,88.167
200.02,88086,51344,88.086
179.02,87942,10399,87.942
83.05,87917,19602,87.917
66.08,87227,26660,87.227
180.02,86299,28190,86.299
150.02,86143,8071,86.143
179.01,86058,18817,86.058
172,85938,39759,85.938
84.22,85859,41040,85.859
180.03,85814,26097,85.814
67.22,85792,6204,85.792
105.02,85532,17713,85.532
21,85347,23790,85.347
1.2,85267,11604,85.267
124.03,84938,55894,84.938
39.18,84922,13825,84.922
84.09,83986,22012,83.986
90.6,83688,39454,83.688
86.01,83456,36284,83.456
110.14,83294,18529,83.294
97.04,83250,12359,83.25
107.09,83053,12759,83.053
166,82778,14340,82.778
67.06,82500,36185,82.5
67.15,81875,21609,81.875
90.1,81626,5807,81.626
106.19,81008,19851,81.008
103.01,80766,25639,80.766
186.01,80625,14973,80.625
197,80580,16750,80.58
195.01,80447,10598,80.447
124.01,80140,35038,80.14
37.07,80000,32689,80
195.02,80000,10446,80
88.07,79988,20776,79.988
90.54,79915,22547,79.915
187,79688,19151,79.688
182,79500,8041,79.5
86.04,79340,47660,79.34
114.1,79226,7697,79.226
1.22,79049,11864,79.049
88.09,79032,25630,79.032
11.02,78603,11749,78.603
132.02,78571,28965,78.571
2.26,78556,23295,78.556
123.02,78179,17099,78.179
66.05,78125,36398,78.125
1.18,77917,48110,77.917
152.02,77750,20859,77.75
88.1,77735,10473,77.735
98.04,77679,14903,77.679
106.2,77612,21491,77.612
194.01,77482,31327,77.482
84.21,77469,56779,77.469
106.25,77047,12471,77.047
38.03,77005,28141,77.005
45,76996,31792,76.996
112.06,76771,13885,76.771
90.4,76765,17896,76.765
93.19,76745,12376,76.745
82.08,76429,13234,76.429
164.02,76352,12749,76.352
1.15,76333,17563,76.333
99.07,76208,37856,76.208
128.01,76121,6584,76.121
6.12,76071,33878,76.071
90.65,75764,38995,75.764
87.03,75647,21797,75.647
154,75473,10327,75.473
90.39,75116,16586,75.116
83.11,75108,16906,75.108
143,74817,14709,74.817
90.58,74763,19742,74.763
150.01,74648,19139,74.648
76.09,74632,17445,74.632
149,74250,11674,74.25
27.07,74216,31555,74.216
162,74009,15619,74.009
201,74000,23655,74
189.02,73938,10730,73.938
186.02,73824,11233,73.824
98.09,73810,27819,73.81
62.03,73808,10052,73.808
89.08,73111,23450,73.111
190,73025,10325,73.025
43.01,72813,6339,72.813
192,72571,15239,72.571
89.11,72569,33837,72.569
145,72125,15049,72.125
47.01,71875,22512,71.875
118,71696,6952,71.696
84.18,71442,5874,71.442
87.02,71343,33219,71.343
133.01,71332,20125,71.332
16.07,70969,19806,70.969
114.11,70924,12802,70.924
106.21,70884,9344,70.884
90.14,70809,19903,70.809
167,70417,14563,70.417
75.03,70313,18861,70.313
99.03,70156,17599,70.156
83.14,70000,12129,70
194.02,69914,21898,69.914
183,69766,4959,69.766
155.02,69688,22785,69.688
95.04,69539,9980,69.539
42.07,69375,28867,69.375
85.04,69348,22326,69.348
2.04,69241,13167,69.241
1.31,69217,6209,69.217
193.01,69118,19800,69.118
90.56,69087,43407,69.087
83.15,68931,8214,68.931
44.06,68598,12215,68.598
106.23,68525,7288,68.525
65.04,68050,17603,68.05
90.66,68000,18596,68
119,67857,12369,67.857
102.01,67750,17101,67.75
71.01,67692,50636,67.692
1.3,67113,22682,67.113
90.44,67000,11094,67
90.5,66981,6164,66.981
156,66975,5290,66.975
76.05,66964,11275,66.964
107.07,66932,27030,66.932
