State,County,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
Florida,(blank),,80.1,79.6-81.6,0.
Florida,"Miami-Dade County, FL",0001.07,82.1,81.7-97.5,1.8154
Florida,"Miami-Dade County, FL",0001.09,75.9,75.2-77.5,1.9962
Florida,"Miami-Dade County, FL",0001.13,89.2,81.7-97.5,2.7034
Florida,"Miami-Dade County, FL",0001.15,82.1,81.7-97.5,2.5957
Florida,"Miami-Dade County, FL",0001.18,81.2,79.6-81.6,1.9346
Florida,"Miami-Dade County, FL",0001.19,,,
Florida,"Miami-Dade County, FL",0001.20,84.5,81.7-97.5,2.0247
Florida,"Miami-Dade County, FL",0001.21,81.2,79.6-81.6,1.0705
Florida,"Miami-Dade County, FL",0001.22,84.6,81.7-97.5,1.9075
Florida,"Miami-Dade County, FL",0001.23,80.7,79.6-81.6,1.2103
Florida,"Miami-Dade County, FL",0001.24,75.9,75.2-77.5,1.5184
Florida,"Miami-Dade County, FL",0001.25,84.1,81.7-97.5,3.8472
Florida,"Miami-Dade County, FL",0001.26,77.9,77.6-79.5,1.4002
Florida,"Miami-Dade County, FL",0001.27,87.5,81.7-97.5,3.3784
Florida,"Miami-Dade County, FL",0001.28,79.8,79.6-81.6,1.8038
Florida,"Miami-Dade County, FL",0001.29,83.8,81.7-97.5,2.7152
Florida,"Miami-Dade County, FL",0001.30,82.1,81.7-97.5,1.1395
Florida,"Miami-Dade County, FL",0001.31,,,
Florida,"Miami-Dade County, FL",0001.32,84,81.7-97.5,2.0671
Florida,"Miami-Dade County, FL",0001.33,88.1,81.7-97.5,2.4499
Florida,"Miami-Dade County, FL",0001.34,83.3,81.7-97.5,1.8262
Florida,"Miami-Dade County, FL",0001.40,,,
Florida,"Miami-Dade County, FL",0002.02,85,81.7-97.5,3.3353
Florida,"Miami-Dade County, FL",0002.04,75.9,75.2-77.5,1.9663
Florida,"Miami-Dade County, FL",0002.06,79.1,77.6-79.5,2.1114
Florida,"Miami-Dade County, FL",0002.09,78.8,77.6-79.5,2.4206
Florida,"Miami-Dade County, FL",0002.11,78.8,77.6-79.5,2.0511
Florida,"Miami-Dade County, FL",0002.12,76.4,75.2-77.5,2.2952
Florida,"Miami-Dade County, FL",0002.13,78.4,77.6-79.5,1.1609
Florida,"Miami-Dade County, FL",0002.14,81.3,79.6-81.6,1.5576
Florida,"Miami-Dade County, FL",0002.15,79.6,79.6-81.6,3.4892
Florida,"Miami-Dade County, FL",0002.16,74.6,56.9-75.1,1.303
Florida,"Miami-Dade County, FL",0002.17,82.5,81.7-97.5,3.5096
Florida,"Miami-Dade County, FL",0002.18,79,77.6-79.5,1.8865
